INFO 2024-05-18 18:08:00,935 autoreload 668 Watching for file changes with StatReloader
INFO 2024-05-18 18:08:11,805 basehttp 212 "GET /register/ HTTP/1.1" 200 3943
INFO 2024-05-18 18:08:11,813 basehttp 212 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2024-05-18 18:08:11,838 basehttp 212 "GET /image_codes/6ed3c5fd-0283-4260-92ad-347541eb69dd/ HTTP/1.1" 200 3373
INFO 2024-05-18 18:08:25,563 basehttp 212 "GET /mobiles/2503838394@qq.com/count/ HTTP/1.1" 200 41
INFO 2024-05-18 18:08:25,777 views 43 733959
INFO 2024-05-18 18:08:25,780 basehttp 212 "GET /mobiles/2503838394@qq.com/count/ HTTP/1.1" 200 41
INFO 2024-05-18 18:08:27,532 basehttp 212 "GET /sms_codes/2503838394@qq.com/?image_code=5u9q&uuid=6ed3c5fd-0283-4260-92ad-347541eb69dd HTTP/1.1" 200 63
INFO 2024-05-18 18:09:27,697 basehttp 212 "GET /image_codes/2938cd81-b8b5-4126-ba13-4c4234d4e5f0/ HTTP/1.1" 200 2872
INFO 2024-05-18 19:55:59,926 autoreload 668 Watching for file changes with StatReloader
INFO 2024-05-18 19:59:52,488 basehttp 212 "GET /register/ HTTP/1.1" 200 3945
INFO 2024-05-18 19:59:52,683 basehttp 212 "GET /static/js/register.js HTTP/1.1" 200 7784
INFO 2024-05-18 19:59:52,721 basehttp 212 "GET /image_codes/10bf4ab6-2085-4028-9a1b-e11bfe30d3f6/ HTTP/1.1" 200 3327
INFO 2024-05-18 19:59:56,329 basehttp 212 "GET /usernames/admin/count/ HTTP/1.1" 200 41
INFO 2024-05-18 20:00:27,222 basehttp 212 "GET /mobiles/2503838394@qq.com/count/ HTTP/1.1" 200 41
INFO 2024-05-18 20:00:28,872 basehttp 212 "GET /image_codes/271a803c-dead-4a71-b8a9-680a784fa9fa/ HTTP/1.1" 200 2965
INFO 2024-05-18 20:00:31,575 basehttp 212 "GET /image_codes/4c6a7025-7fb5-436b-a5ea-7b027a8bf977/ HTTP/1.1" 200 3150
INFO 2024-05-18 20:00:33,418 basehttp 212 "GET /image_codes/a63c1e58-2f7d-4228-9b91-d5fc971f5a73/ HTTP/1.1" 200 3456
INFO 2024-05-18 20:00:41,838 views 43 646016
INFO 2024-05-18 20:00:41,844 basehttp 212 "GET /mobiles/2503838394@qq.com/count/ HTTP/1.1" 200 41
INFO 2024-05-18 20:00:43,781 basehttp 212 "GET /sms_codes/2503838394@qq.com/?image_code=jluc&uuid=a63c1e58-2f7d-4228-9b91-d5fc971f5a73 HTTP/1.1" 200 63
INFO 2024-05-18 20:01:01,766 basehttp 212 "GET /usernames/admin/count/ HTTP/1.1" 200 41
INFO 2024-05-18 20:01:01,766 basehttp 212 "GET /mobiles/2503838394@qq.com/count/ HTTP/1.1" 200 41
INFO 2024-05-18 20:01:01,927 basehttp 212 "POST /register/ HTTP/1.1" 302 0
INFO 2024-05-18 20:01:01,935 basehttp 212 "GET / HTTP/1.1" 200 39137
INFO 2024-05-18 20:01:01,950 basehttp 212 "GET /static/images/goods/goods001.jpg HTTP/1.1" 200 5391
INFO 2024-05-18 20:01:01,950 basehttp 212 "GET /static/images/goods/goods002.jpg HTTP/1.1" 200 5377
INFO 2024-05-18 20:01:01,950 basehttp 212 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
INFO 2024-05-18 20:01:01,953 basehttp 212 "GET /static/images/slide01.jpg HTTP/1.1" 200 67813
INFO 2024-05-18 20:01:01,953 basehttp 212 "GET /static/images/slide02.jpg HTTP/1.1" 200 89905
INFO 2024-05-18 20:01:01,959 basehttp 212 "GET /static/js/slide.js HTTP/1.1" 200 1822
